STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130129 12:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130129 14:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130129 15:00,20
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130129 16:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130129 17:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130129 19:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130129 21:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130130 01:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130201 01:00,0
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130203 01:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130204 00:00,99999
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130207 03:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130207 05:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130207 08:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130207 10:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130209 19:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130209 23:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130210 00:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130210 03:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130218 11:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130218 12:00,20
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130218 13:00,10
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130221 08:00,20
COOP:116837,PITTSFIELD NUMBER 2 IL US,204.2,39.6222,-90.8058,20130221 09:00,30
